country_of_birth,country_of_destination,education_level,sex,number
AFG,AUS,ISCED 5/6/7/8,Female,22351.0
AFG,AUS,ISCED 5/6/7/8,Male,24308.0
AFG,BGR,ISCED 5/6/7/8,Female,68.0
AFG,BGR,ISCED 5/6/7/8,Male,420.0
AFG,CAN,ISCED 5/6/7/8,Female,43995.0
AFG,CAN,ISCED 5/6/7/8,Male,48715.0
AFG,CHE,ISCED 5/6/7/8,Female,2514.5730018615723
AFG,CHE,ISCED 5/6/7/8,Male,7095.770969390869
AFG,COL,ISCED 5/6/7/8,Female,110.0
AFG,COL,ISCED 5/6/7/8,Male,165.0
AFG,CZE,ISCED 5/6/7/8,Female,185.0
AFG,CZE,ISCED 5/6/7/8,Male,708.0
AFG,DNK,ISCED 5/6/7/8,Female,4381.0
AFG,DNK,ISCED 5/6/7/8,Male,5986.0
AFG,ESP,ISCED 5/6/7/8,Female,221.0
AFG,ESP,ISCED 5/6/7/8,Male,513.0
AFG,EST,ISCED 5/6/7/8,Female,31.0
AFG,EST,ISCED 5/6/7/8,Male,114.0
AFG,FRA,ISCED 5/6/7/8,Female,6016.884428977966
AFG,FRA,ISCED 5/6/7/8,Male,19188.976623773575
AFG,GRC,ISCED 5/6/7/8,Female,471.0
AFG,GRC,ISCED 5/6/7/8,Male,1004.0
AFG,HUN,ISCED 5/6/7/8,Female,458.0
AFG,HUN,ISCED 5/6/7/8,Male,1082.0
AFG,ITA,ISCED 5/6/7/8,Female,722.0000006183982
AFG,ITA,ISCED 5/6/7/8,Male,5361.999970376492
AFG,LTU,ISCED 5/6/7/8,Female,10.0
AFG,LTU,ISCED 5/6/7/8,Male,17.0
AFG,LUX,ISCED 5/6/7/8,Female,162.0
AFG,LUX,ISCED 5/6/7/8,Male,472.0
AFG,LVA,ISCED 5/6/7/8,Female,4.0
AFG,LVA,ISCED 5/6/7/8,Male,61.0
AFG,NOR,ISCED 5/6/7/8,Female,4771.0
AFG,NOR,ISCED 5/6/7/8,Male,6810.0
AFG,NZL,ISCED 5/6/7/8,Female,828.0
AFG,NZL,ISCED 5/6/7/8,Male,1107.0
AFG,POL,ISCED 5/6/7/8,Female,113.0
AFG,POL,ISCED 5/6/7/8,Male,548.0
AFG,PRT,ISCED 5/6/7/8,Female,15.0
AFG,PRT,ISCED 5/6/7/8,Male,51.0
AFG,SVK,ISCED 5/6/7/8,Female,46.0
AFG,SVK,ISCED 5/6/7/8,Male,348.0
AFG,SVN,ISCED 5/6/7/8,Male,19.0
AFG,SWE,ISCED 5/6/7/8,Female,10550.0
AFG,SWE,ISCED 5/6/7/8,Male,15155.0
AFG,TUR,ISCED 5/6/7/8,Female,1581.0
AFG,TUR,ISCED 5/6/7/8,Male,4747.0
AFG,USA,ISCED 5/6/7/8,Female,57175.0
AFG,USA,ISCED 5/6/7/8,Male,91193.0
AFRI,AUS,ISCED 5/6/7/8,Female,409.0
AFRI,AUS,ISCED 5/6/7/8,Male,212.0
AFRI,USA,ISCED 5/6/7/8,Female,167447.0
AFRI,USA,ISCED 5/6/7/8,Male,229284.0
AGO,AUS,ISCED 5/6/7/8,Female,539.0
AGO,AUS,ISCED 5/6/7/8,Male,438.0
AGO,BGR,ISCED 5/6/7/8,Female,8.0
AGO,BGR,ISCED 5/6/7/8,Male,19.0
AGO,CAN,ISCED 5/6/7/8,Female,4755.0
AGO,CAN,ISCED 5/6/7/8,Male,4420.0
AGO,CHE,ISCED 5/6/7/8,Female,942.1519956588745
AGO,CHE,ISCED 5/6/7/8,Male,1903.5090217590332
AGO,COL,ISCED 5/6/7/8,Female,14.0
AGO,COL,ISCED 5/6/7/8,Male,57.0
AGO,CZE,ISCED 5/6/7/8,Female,36.0
AGO,CZE,ISCED 5/6/7/8,Male,248.0
AGO,DNK,ISCED 5/6/7/8,Female,90.0
AGO,DNK,ISCED 5/6/7/8,Male,40.0
AGO,ESP,ISCED 5/6/7/8,Female,1735.0
AGO,ESP,ISCED 5/6/7/8,Male,2171.0
AGO,EST,ISCED 5/6/7/8,Female,3.0
AGO,EST,ISCED 5/6/7/8,Male,8.0
AGO,FRA,ISCED 5/6/7/8,Female,10073.091862678528
AGO,FRA,ISCED 5/6/7/8,Male,10141.419270992279
AGO,GRC,ISCED 5/6/7/8,Female,38.0
AGO,GRC,ISCED 5/6/7/8,Male,18.0
AGO,HUN,ISCED 5/6/7/8,Female,63.0
AGO,HUN,ISCED 5/6/7/8,Male,206.0
AGO,ITA,ISCED 5/6/7/8,Female,823.0000035613775
AGO,ITA,ISCED 5/6/7/8,Male,749.0000031962991
AGO,LUX,ISCED 5/6/7/8,Female,407.0
AGO,LUX,ISCED 5/6/7/8,Male,471.0
AGO,LVA,ISCED 5/6/7/8,Male,4.0
AGO,NOR,ISCED 5/6/7/8,Female,233.0
AGO,NOR,ISCED 5/6/7/8,Male,201.0
AGO,NZL,ISCED 5/6/7/8,Male,18.0
AGO,POL,ISCED 5/6/7/8,Female,98.0
AGO,POL,ISCED 5/6/7/8,Male,290.0
AGO,PRT,ISCED 5/6/7/8,Female,125607.0
AGO,PRT,ISCED 5/6/7/8,Male,85885.0
AGO,SVK,ISCED 5/6/7/8,Female,9.0
AGO,SVK,ISCED 5/6/7/8,Male,59.0
AGO,SVN,ISCED 5/6/7/8,Male,10.0
AGO,SWE,ISCED 5/6/7/8,Female,480.0
AGO,SWE,ISCED 5/6/7/8,Male,410.0
AGO,TUR,ISCED 5/6/7/8,Male,13.0
ALB,AUS,ISCED 5/6/7/8,Female,2726.0
ALB,AUS,ISCED 5/6/7/8,Male,2021.0
ALB,BGR,ISCED 5/6/7/8,Female,353.0
ALB,BGR,ISCED 5/6/7/8,Male,447.0
ALB,CAN,ISCED 5/6/7/8,Female,28995.0
ALB,CAN,ISCED 5/6/7/8,Male,25215.0
ALB,CHE,ISCED 5/6/7/8,Female,5257.565046310425
ALB,CHE,ISCED 5/6/7/8,Male,3391.3330249786377
